% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV1764
% Time: 2022/03/07 16:22:13
% Demod 1 Sample R, /dev1764/demods/0/sample.R
% Demod 2 Sample R, /dev1764/demods/1/sample.R
% Frequency (Hz); Demod 1 Sample R  Amplitude (V); Demod 2 Sample R  Amplitude (V)
% Demod 1 Sample Phase, /dev1764/demods/0/sample.Theta
% Demod 2 Sample Phase, /dev1764/demods/1/sample.Theta
% Frequency (Hz); Demod 1 Sample Phase  Phase (deg); Demod 2 Sample Phase  Phase (deg)
35330.10967139991; 0.0577324428693; 0.0368025982217
36652.63847075864; 0.0573010549846; 0.0373071850386
38024.67411969699; 0.0568933607893; 0.0378036043783
39448.06983166216; 0.0564620443592; 0.0383046257166
40924.74819232169; 0.0560472154428; 0.0387391729114
42456.70375640712; 0.0557004502097; 0.0391229548305
44046.00574176565; 0.055296451536; 0.0396012856837
45694.80082426042; 0.0549042660155; 0.0400361542153
47405.31603729318; 0.0545253583581; 0.040432669356
49179.86177986615; 0.0541769610419; 0.0407954390116
51020.83493724671; 0.0538217097182; 0.0411708592554
52930.72211844773; 0.0534812007267; 0.0415258732527
54912.10301490073; 0.0531500241428; 0.0418604916155
56967.65388485313; 0.052827194534; 0.0421896391684
59100.15116820031; 0.0525203241368; 0.0424931768081
61312.47523663285; 0.0522237265502; 0.0427778992668
